HITId,WorkerId,WorkTimeInSeconds,Answer.S1,Answer.S2,Answer.S3,Answer.S4,Answer.S5,Answer.comment,Approve,Reject
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A37M4OVE9R80G,53,true,true,true,false,false,SOME THING DIFFERENT,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A3QV1H6T7CUNUE,64,true,true,true,true,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A3W0NHITWBDR5I,73,true,true,true,false,true,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,A997OZ3H2B3Q2,52,false,true,true,false,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,A9JHTV37LSE5F,46,false,false,true,false,false,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,AATBV6YR0R51U,24,false,false,true,true,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,ACG0A16FI0MOJ,101,false,true,true,true,false,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,ACGF1YHQCI2Z6,32,true,false,true,true,false,,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,AHLADH7JTJRO8,241,false,true,true,true,true,Good task.,,
2HFULRGNTBJ746BC80G7W62KIO67T8,AL8SHK05TI0A9,159,false,true,true,false,false,NO,,
2YWCWA6X3YOGUZYRSQBXYTINJVUNOD,AMHZ8D856PO3F,134,false,true,true,true,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,AO8LXT6Z1D9MU,67,false,false,true,true,false,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,AUBB8KU9XV2R8,70,false,true,false,true,false,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,AVUB4GDC2GE48,38,false,true,true,true,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,AWIO57CI1ZBIH,91,false,false,true,false,true,,,
2HFULRGNTBJ746BC80G7W62KIO67T8,AX8OUA7C61I4H,50,false,true,false,false,true,,,
